id	name	example
ermg	Ermahgerd	ermahgerd memes
exit	Left Exit 12 Off Ramp	The Pins The Gutter Bowling Ball
fa	Forever Alone	forever alone
facepalm	Facepalm	 I can't even
fbf	Foul Bachelor Frog	paper towel the plate that cleans up after itself
feelsgood	Feels Good	 feels good
fetch	Stop Trying to Make Fetch Happen	stop trying to make fetch happen it's not going to happen
fine	This is Fine	 this is fine
firsttry	First Try!	 first try!
fmr	Fuck Me, Right?	 fuck me, right?
fry	Futurama Fry	not sure if trolling or just stupid
fwp	First World Problems	someone on the internet disagrees with me
gandalf	Confused Gandalf	 I have no memory of this place
gb	Galaxy Brain	Who Whom Whom'st Whomst'd
gears	You Know What Really Grinds My Gears?	you know what really grinds my gears? when people post images of cogs that don't mesh
genie	Phenomenal Cosmic Power / Itty Bitty Living Space	phenomenal cosmic power itty bitty living space
ggg	Good Guy Greg	sleeps on your couch makes breakfast
glasses	Peter Parker's Glasses	Virginity is cool, stay pure I am utterly incapable of getting laid
gone	And It's Gone	we'll just invest that money ...aaaand it's gone
grave	Grant Gustin Next To Oliver Queen's Grave	Here lies the last bit of human decency Society Social Media
gru	Gru's Plan	Learn how to make memes. Make a meme. No one likes it. No one likes it.
grumpycat	Grumpy Cat	i hope that what does not kill you tries again
hagrid	I Should Not Have Said That	 i should not have said that
happening	It's Happening	 it's happening
harold	Hide the Pain Harold	when the boss sees your meme tab
headaches	Types of Headaches	Breaking Production
hipster	Hipster Barista	puts coffee deal on Groupon rolls eyes when you actually use it
home	We Have Food at Home	Me: Can we stop and get food? Mom: We have food at home. Food at home:
icanhas	I Can Has Cheezburger?	i can has this meme?
imsorry	Oh, I'm Sorry, I Thought This Was America	oh, i'm sorry i thought this was america
inigo	Inigo Montoya	you keep using that word i do not think it means what you think it means
interesting	The Most Interesting Man in the World	I don't often drink beer so you shouldn't value my opinion
ive	Jony Ive Redesigns Things	we think you'll love it
iw	Insanity Wolf	does testing in production
jd	Joseph Ducreux / Archaic Rap	disregard females acquire currency
jetpack	Nothing To Do Here	nothing to do here
jim	Jim Halpert Pointing to Whiteboard	It's OK to like trashy shows and movies If it makes you happy then it's not a waste of time
joker	It's Simple, Kill the Batman	it's simple kill the batman
jw	Probably Not a Good Idea	you just went and made a new dinosaur? probably not a good idea
keanu	Conspiracy Keanu	what if the CIA invented dinosaurs to discourage time travel?
kermit	But That's None of My Business	 but that's none of my business
khaby-lame	Khaby Lame Shrug / It's That Sample	Bad mood? Laugh at memes
kk	Karate Kyle	they broke my pencils i broke their neck
kombucha	Kombucha Girl	Trying a thing. Trying a thing again.
kramer	Kramer, What's Going On In There?	Kramer, what's going on in there? It's a Chicken Roaster sign, right across from my window.
leo	Leo Strutting	I have no idea what I am doing
light	Everything the Light Touches is Our Kingdom / Mufasa and Simba in Lion King	What about that shadowy place? That's beyond our borders. You must never go there.
live	Do It Live!	 do it live!
ll	Laughing Lizard	 hhhehehe
lrv	Laundry Room Viking	do the laundry they said it will be fun they said
made	I Made This	The Internet Everyone I made this. You made this? I made this.
mb	Member Berries	'member star wars?
michael-scott	Michael Scott No God No	no, god! no god please no! noooooooooooooooo!
millers	You Guys Are Getting Paid?	 You are making 500 thousand dollars and you were only gonna pay me 30? You're getting 30 grand? I'm getting a thousand! You guys are getting paid?
mini-keanu	Mini Keanu Reeves	me waiting for mom to stop talking on the phone so I can tell her my Pokemon evolved
mmm	Minor Mistake Marvin	Puts ice cream back Into the refrigerator
money	Shut Up and Take My Money!	shut up and take my money!
mordor	One Does Not Simply Walk into Mordor	one does not simply walk into mordor
morpheus	Matrix Morpheus	what if I told you that reality was an illusion?
mouth	Woman Holding Dog's Mouth	Sales Team presenting the solution in PowerPoint Excited Customer Engineering Team knowing the solution is not technically possible
mw	I Guarantee It	you're gonna like the way you look i guarantee it
nails	Guy Hammering Nails Into Sand	Humanity Language The inherently indescribably nature of the universe
nice	So I Got That Goin' For Me, Which is Nice	 so i got that goin' for me, which is nice
noah	What the Hell is This? / Family Guy Noah	Street Road Stroad What the hell is this?
noidea	I Have No Idea What I'm Doing	i have no idea what i'm doing
ntot	No Take, Only Throw	Pls throw?? NO TAKE!! ONLY THROW
oag	Overly Attached Girlfriend	i know you received my email because i checked your inbox
officespace	That Would Be Great	yeah... that'd be great
older	An Older Code Sir, But It Checks Out	it's an older meme sir but it checks out
oprah		Top Line Bottom Line
panik-kalm-panik	Panik Kalm Panik	You hear a sound downstairs It's just a cat You don't have a cat
patrick	Push it somewhere else Patrick	why don't we take all the memes and put them on memegen
perfection	I Prefer the Real Raven / Perfection	Sebastian Shaw I prefer the real Darth Vader. Hayden Christensen I said, the real Darth Vader. Jake Lloyd Perfection.
persian	Persian Cat Room Guardian	when you wake up from a nap and your mom starts yelling at you
philosoraptor	Philosoraptor	if the earth is the third planet from the sun then isn't every country a third world country?
pigeon	Is This a Pigeon?	Engineer PowerPoint Is this Photoshop?
pooh	Tuxedo Winnie the Pooh	Burger King The Monarch of Hamburg
ptj	Phoebe Teaching Joey	Cast it Cast it into into the fire the fire Cast it into the fire. Keep the Ring of Power!
puffin	Unpopular opinion puffin	I don't find Mitch Hedberg all the funny
red	Oh, Is That What We're Going to Do Today?	oh, is that what we're going to do today? we're going to fight?
regret	I Immediately Regret This Decision!	 i immediately regret this decision
remembers	Pepperidge Farm Remembers	remember this meme? pepperidge farm remembers
reveal	Scooby Doo Reveal	Villain Let's see who you really are... Protagonist I knew it!
right	Anakin and Padme Change the World For the Better	Senior Developer Junior Developer Put it in the backlog. So we can fix it later, right? So we can fix it later, right?
rollsafe	Roll Safe	can't get fired if you don't have a job
sad-biden	Sad Joe Biden	sad joe biden doesn't think you'll vote
sad-boehner	Sad John Boehner	sad john boehner doesn't think you'll vote
sad-bush	Sad George Bush	sad george bush doesn't think you'll vote
sad-clinton	Sad Bill Clinton	sad bill clinton doesn't think you'll vote
sad-obama	Sad Barack Obama	sad barack obama doesn't think you'll vote
sadfrog	Sad Frog / Feels Bad Man	 feels bad man
saltbae	Salt Bae	 pours salt on it
same	They're The Same Picture	π 3 The Bible
sarcasticbear	Sarcastic Bear	i'm so sorry i haven't memorized the internet
say	Say the Line, Bart! / The Simpsons	Say the line, Senior Engineer! It depends.
sb	Scumbag Brain	remembers the face but not the name
scc	Sudden Clarity Clarence	oh my god those weren't listerine breath strips
seagull	Inhaling Seagull	some BODY ONCE TOLD ME THE THE WORLD WAS GONNA ROLL ME!!
sf	Sealed Fate	i accidentally used a swear word and i know my mom heard it from the other room
sk	Skeptical Third World Kid	you finished your plate because i was starving?
ski	Super Cool Ski Instructor	 you're gonna have a bad time
slap	Will Smith Slapping Chris Rock	Me Trying to Enjoy the Weekend Monday
snek	Skeptical Snake	when you already checked that one leaf and it starts moving
soa	Seal of Approval	first wipe clean toiletpaper
sohappy	I Would Be So Happy	if i could use this meme i would be so happy
sohot	So Hot Right Now	this meme is so hot right now
soup-nazi	No Soup for You / Soup Nazi	no soup for you!
sparta	This is Sparta!	this. is. sparta!
spiderman	Spider-Man Pointing at Spider-Man	me pointing at you you pointing at me
spongebob	Mocking Spongebob	BF: I don't even know her like that Me: i DoN'T eVeN KnOw HeR lIkE tHaT
ss	Scumbag Steve	needs a place to crash never leaves
stew	Baby, You've Got a Stew Going	 baby, you've got a stew going!
stonks	Stonks	 stonks
stop	Stop It Patrick You're Scaring Him	"I'm claustrophobic. What does ""claustrophobic"" mean? It means he's afraid of Santa Claus. No, it doesn't. HO-HO-HO Stop it, Patrick, you're scaring him!"
stop-it	Stop It, Get Some Help	stop it get some help
success	Success Kid	don't know a question on the test answer is in another question
tenguy	10 Guy	can't read the words on the menu turns down the radio
toohigh	The Rent Is Too Damn High	the rent is too damn high
touch	Principal Skinner / Am I Out Of Touch?	Am I so out of touch? No, it's the children who are wrong.
tried	At Least You Tried	at least you tried
trump	Donald Trump	this is the best meme in the history of memes maybe ever
ugandanknuck	Ugandan Knuckles	 do u know de wey?
vince	Vince McMahon Reaction	2-Day Delivery Overnight Shipping Shopping at the Store
wallet	Patrick Star's Wallet	Aren't you Patrick Star? Yup. And this is your ID? Yup. I found the ID in this wallet so it must be yours. That makes sense to me. Then take it! It's not my wallet.
waygd	What Are Ya Gonna Do?	yeah... what are ya gonna do?
wddth	We Don't Do That Here / Black Panther	when someone calls your phone without warning We don't do that here.
whatyear	What Year Is It?	 what year is it?
winter	Winter is coming	prepare yourself winter is coming
wkh	Who Killed Hannibal?	Twin Towers George Bush Why would Al-Qaeda do this?
woman-cat	Woman Yelling at a Cat	Mom telling me how useless I am 12 year old me playing Minecraft
wonka	Condescending Wonka	oh, you just graduated? you must know everything
worst	The Worst Day Of Your Life So Far	This is the worst day of my life. This is the worst day of your life so far.
xy	X all the Y	all the things!!!
yallgot	Y'all Got Any More of Them	y'all got any more of them memes
yodawg	Xzibit Yo Dawg	yo dawg i heard you like memes
yuno	Y U NO Guy	y u no use this meme!?
zero-wing	All Your Base Are Belong to Us	all your base are belong to us
